City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Two Rivers,US,80.01,few clouds,44.15,-87.57,Lighthouse Inn On Lake Michigan
3,Meulaboh,ID,78.33,moderate rain,4.14,96.13,Kost Pria
6,Kavieng,PG,84.06,few clouds,-2.57,150.8,Nusa Island Retreat
11,Sao Geraldo Do Araguaia,BR,83.93,clear sky,-6.4,-48.55,Hotel Rio Araguaia
13,Umm Lajj,SA,87.73,clear sky,25.02,37.27,Moon light Furnished Units
18,Kodiak,US,75.2,clear sky,57.79,-152.41,Best Western Kodiak Inn and Convention Center
22,Kimbe,PG,83.44,broken clouds,-5.55,150.14,Kimbe Bay Hotel
27,Port Blair,IN,81.9,light rain,11.67,92.75,Fortune Resort Bay Island
28,Dong Hoi,VN,78.21,overcast clouds,17.48,106.6,Nam Long Hotel
31,Isangel,VU,82.4,few clouds,-19.55,169.27,Volcano Sea View Tree House
32,Kapaa,US,84.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
33,Atuona,PF,78.42,light rain,-9.8,-139.03,Villa Enata
38,Maceio,BR,77.0,scattered clouds,-9.67,-35.74,Mercure Maceio Pajucara Hotel
40,Georgetown,MY,80.6,few clouds,5.41,100.34,Cititel Penang
44,Santa Rosa,PH,80.6,overcast clouds,14.31,121.11,Amethyst Econotel
45,Vaini,TO,78.8,broken clouds,-21.2,-175.2,Keleti Beach Resort
46,Kaliua,TZ,75.7,overcast clouds,-5.06,31.79,Millennium Complex
48,Westport,US,77.0,clear sky,41.14,-73.36,The Westport Inn
50,Powell,US,82.4,clear sky,40.16,-83.08,The Brig
51,Lagunas,PE,76.55,light rain,-5.23,-75.68,Hospedaje Eco
57,Ingham,US,81.0,clear sky,42.6,-84.38,Sunset Place
58,Trincomalee,LK,79.86,overcast clouds,8.57,81.23,Welcombe Hotel
60,Jasper,US,86.0,clear sky,37.2,-94.35,Guest House Motel
65,Luau,AO,75.43,broken clouds,-10.71,22.22,Kimbo Hotel
67,Jamestown,US,75.0,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
71,Bethel,US,78.01,clear sky,41.37,-73.41,Courtyard by Marriott Danbury
72,Kantang,TH,77.54,light rain,7.41,99.52,Reng Ta Chai Boutique HomeStay
74,Hirara,JP,78.8,light rain,24.8,125.28,Hotel Atoll Emerald Miyakojima
76,Butaritari,KI,82.56,overcast clouds,3.07,172.79,Isles Sunset Lodge
80,Sabha,LY,88.09,clear sky,27.04,14.43,محطة ام الارانب -سبها مواصلات
88,Hasaki,JP,84.2,few clouds,35.73,140.83,Inubosaki Kanko Hotel
90,Adiake,CI,75.2,few clouds,5.29,-3.3,Hotel Lagune
91,Hamilton,US,81.0,clear sky,39.18,-84.53,Six Acres Bed & Breakfast
94,Worthington,US,80.6,clear sky,40.09,-83.02,Sheraton Suites Columbus
95,Liyang,CN,86.0,broken clouds,29.71,118.29,Hui Boutique Hotel
100,Tual,ID,79.14,few clouds,-5.67,132.75,Grand Vilia Hotel
101,Palu,ID,76.93,broken clouds,-0.89,119.87,Hotel Santika Palu
102,Cockburn Town,TC,84.2,scattered clouds,21.46,-71.14,Osprey Beach Hotel
104,Riyadh,SA,84.2,clear sky,24.69,46.72,InterContinental Riyadh
107,Tahara,JP,88.0,broken clouds,34.67,137.27,Tahara City Hotel
108,Dingle,PH,77.83,overcast clouds,11.0,122.67,Camp Pasica
109,Bajna,IN,79.99,overcast clouds,27.9,77.68,Mr. Uma Shankar Gupta ji
111,Naze,JP,86.0,few clouds,28.37,129.48,奄美ポートタワーホテル
112,Makakilo City,US,87.8,overcast clouds,21.35,-158.09,Marriott's Ko Olina Beach Club
113,Mao,ES,78.8,few clouds,39.89,4.27,ARTIEM Capri
114,Cairns,AU,77.0,clear sky,-16.92,145.77,Mantra Trilogy Cairns
122,Srivardhan,IN,80.06,moderate rain,18.03,73.02,Savli Resort/Hotel - Shrivardhan
123,Fortuna,US,75.99,clear sky,40.6,-124.16,Super 8 by Wyndham Fortuna
126,Tautira,PF,80.6,broken clouds,-17.73,-149.15,Pension Oaoa
127,Borba,BR,86.92,broken clouds,-4.39,-59.59,Hotel da Amazônia
128,Vanimo,PG,82.11,clear sky,-2.67,141.3,Vahmoneh Lodge Vanimo
137,Puerto Leguizamo,CO,83.14,overcast clouds,-0.19,-74.78,la casona de juancho
140,Itarema,BR,77.59,broken clouds,-2.92,-39.92,Windvillage
142,Tutoia,BR,79.41,broken clouds,-2.76,-42.27,Pousada Guará's
143,Thompson,CA,78.8,scattered clouds,55.74,-97.86,Burntwood Hotel
144,Lorengau,PG,84.88,few clouds,-2.02,147.27,Lorengau Harbourside Hotel
146,Fort Morgan,US,87.8,scattered clouds,40.25,-103.8,Hampton Inn Fort Morgan
147,Katsina,NG,79.3,overcast clouds,12.99,7.6,Katsina Motel
148,Puerto Colombia,CO,78.8,shower rain,10.99,-74.95,Hotel El Emigrante
149,Avarua,CK,78.8,clear sky,-21.21,-159.78,Paradise Inn
150,Bastrop,US,89.6,clear sky,32.76,-91.87,Budget Inn
153,Pamekasan,ID,78.06,clear sky,-7.16,113.47,OYO 3027 Griya Temenggungan Syariah
159,Jieshi,CN,81.43,overcast clouds,22.81,115.83,Yuehai Hotel
