City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Two Rivers,US,44.15,-87.57,80.01,61,20,8.05,few clouds
1,Hobart,AU,-42.88,147.33,45.0,73,75,10.29,broken clouds
2,Constitucion,CL,-35.33,-72.42,51.4,71,0,4.94,clear sky
3,Meulaboh,ID,4.14,96.13,78.33,85,100,3.8,moderate rain
4,Puerto Ayora,EC,-0.74,-90.35,66.99,87,68,10.0,broken clouds
5,Esperance,AU,-33.87,121.9,46.4,100,75,3.36,broken clouds
6,Kavieng,PG,-2.57,150.8,84.06,73,20,9.19,few clouds
7,Pingliang,CN,35.54,106.69,62.89,87,92,13.27,overcast clouds
8,Punta Arenas,CL,-53.15,-70.92,44.6,75,75,16.11,broken clouds
9,Albany,US,42.6,-73.97,75.99,49,9,1.99,clear sky
10,Provideniya,RU,64.38,-173.3,55.4,66,81,13.42,broken clouds
11,Sao Geraldo Do Araguaia,BR,-6.4,-48.55,83.93,25,0,2.68,clear sky
12,Kalemie,CD,-5.95,29.19,74.97,51,53,3.09,broken clouds
13,Umm Lajj,SA,25.02,37.27,87.73,56,0,9.08,clear sky
14,Vostok,RU,46.49,135.88,57.9,66,70,3.31,broken clouds
15,Mahebourg,MU,-20.41,57.7,68.0,77,20,5.82,few clouds
16,Dikson,RU,73.51,80.55,43.74,80,0,16.11,clear sky
17,Cherskiy,RU,68.75,161.3,43.63,61,5,11.72,clear sky
18,Kodiak,US,57.79,-152.41,75.2,38,1,12.75,clear sky
19,Avera,US,33.19,-82.53,80.6,51,40,4.7,light rain
20,Ambilobe,MG,-13.2,49.05,67.19,83,65,3.22,broken clouds
21,Mar Del Plata,AR,-38.0,-57.56,50.0,39,0,8.05,clear sky
22,Kimbe,PG,-5.55,150.14,83.44,65,67,3.56,broken clouds
23,Rikitea,PF,-23.12,-134.97,66.43,81,100,25.68,overcast clouds
24,East London,ZA,-33.02,27.91,60.85,71,100,13.24,light rain
25,Bluff,NZ,-46.6,168.33,48.0,98,100,3.0,overcast clouds
26,Ancud,CL,-41.87,-73.82,48.0,87,75,4.7,broken clouds
27,Port Blair,IN,11.67,92.75,81.9,80,100,10.11,light rain
28,Dong Hoi,VN,17.48,106.6,78.21,85,100,5.73,overcast clouds
29,Paamiut,GL,61.99,-49.67,44.94,76,0,5.26,clear sky
30,Port Hedland,AU,-20.32,118.57,57.2,54,0,9.17,clear sky
31,Isangel,VU,-19.55,169.27,82.4,61,20,5.82,few clouds
32,Kapaa,US,22.08,-159.32,84.2,70,75,13.87,broken clouds
33,Atuona,PF,-9.8,-139.03,78.42,77,69,18.81,light rain
34,Vallenar,CL,-28.57,-70.76,60.76,48,0,2.21,clear sky
35,Mataura,NZ,-46.19,168.86,48.0,98,100,3.0,overcast clouds
36,Carnarvon,AU,-24.87,113.63,64.4,77,99,5.82,overcast clouds
