City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,New Norfolk,AU,2020-08-18 05:32:59,-42.78,147.06,55.0,81,92,3.0
1,Saint-Augustin,CA,2020-08-18 05:33:25,51.23,-58.65,53.8,91,0,1.45
2,Jalu,LY,2020-08-18 05:33:25,29.03,21.55,79.5,52,0,7.45
3,Ushuaia,AR,2020-08-18 05:31:19,-54.8,-68.3,31.42,96,97,4.41
4,Jamestown,US,2020-08-18 05:31:57,42.1,-79.24,61.0,100,75,2.28
5,Punta Arenas,CL,2020-08-18 05:33:26,-53.15,-70.92,32.0,90,26,16.11
6,Tuktoyaktuk,CA,2020-08-18 05:33:26,69.45,-133.04,50.0,93,75,10.29
7,Bluff,NZ,2020-08-18 05:33:03,-46.6,168.33,46.24,71,100,5.37
8,Tayzhina,RU,2020-08-18 05:33:26,53.67,87.44,80.58,39,34,6.04
9,Port-Gentil,GA,2020-08-18 05:33:26,-0.72,8.78,77.0,88,90,10.4
10,Chivay,PE,2020-08-18 05:33:27,-15.64,-71.6,41.76,60,24,1.77
11,Tiksi,RU,2020-08-18 05:33:27,71.69,128.87,45.95,92,100,7.87
12,Saldanha,ZA,2020-08-18 05:33:27,-33.01,17.94,48.2,81,67,8.05
13,Fort Nelson,CA,2020-08-18 05:33:27,58.81,-122.7,59.0,100,75,5.82
14,Bredasdorp,ZA,2020-08-18 05:33:28,-34.53,20.04,46.4,81,81,12.75
15,Ugoofaaru,MV,2020-08-18 05:33:28,5.67,73.0,83.35,68,100,5.91
16,Qaanaaq,GL,2020-08-18 05:32:59,77.48,-69.36,42.15,62,100,9.35
17,Banjar,ID,2020-08-18 05:33:28,-8.19,114.97,84.2,79,40,17.22
18,Yellowknife,CA,2020-08-18 05:33:28,62.46,-114.35,57.99,93,90,2.24
19,Hilo,US,2020-08-18 05:33:29,19.73,-155.09,78.8,69,75,6.93
20,Barrow,US,2020-08-18 05:33:29,71.29,-156.79,46.4,87,20,14.99
21,Hanzhong,CN,2020-08-18 05:33:29,33.07,107.03,66.02,85,100,1.54
22,Georgetown,MY,2020-08-18 05:32:10,5.41,100.34,84.2,66,20,13.87
23,Porto Novo,BJ,2020-08-18 05:33:30,6.5,2.6,75.2,94,20,8.05
24,Butaritari,KI,2020-08-18 05:33:30,3.07,172.79,82.62,66,0,8.59
25,Nambucca Heads,AU,2020-08-18 05:33:30,-30.65,153.0,66.2,59,40,16.11
26,Ambilobe,MG,2020-08-18 05:33:30,-13.2,49.05,74.17,59,49,2.17
27,Salalah,OM,2020-08-18 05:30:13,17.02,54.09,77.0,100,90,4.7
28,Lucea,JM,2020-08-18 05:33:31,18.45,-78.17,82.4,78,20,3.36
29,Yuzawa,JP,2020-08-18 05:33:31,39.17,140.5,84.2,69,75,9.17
30,Hithadhoo,MV,2020-08-18 05:33:31,-0.6,73.08,83.97,74,22,10.6
31,Vaini,TO,2020-08-18 05:33:31,-21.2,-175.2,71.6,88,40,8.05
32,Melnik,CZ,2020-08-18 05:33:31,50.35,14.47,64.4,93,100,3.36
33,East London,ZA,2020-08-18 05:33:32,-33.02,27.91,48.2,76,20,9.17
34,Kodiak,US,2020-08-18 05:33:05,57.79,-152.41,60.8,72,1,5.82
35,Kidal,ML,2020-08-18 05:33:32,18.44,1.41,84.76,55,24,4.54
36,Rikitea,PF,2020-08-18 05:33:32,-23.12,-134.97,72.05,77,23,11.68
37,Albany,US,2020-08-18 05:33:33,42.6,-73.97,66.0,89,99,3.71
38,Touros,BR,2020-08-18 05:33:33,-5.2,-35.46,69.8,94,20,4.7
39,Tautira,PF,2020-08-18 05:33:33,-17.73,-149.15,78.8,74,20,6.93
40,Avarua,CK,2020-08-18 05:33:33,-21.21,-159.78,69.8,77,99,8.05
41,Tasiilaq,GL,2020-08-18 05:33:34,65.61,-37.64,39.2,100,19,2.82
42,Dikson,RU,2020-08-18 05:33:34,73.51,80.55,51.12,87,43,7.31
43,Mahina,PF,2020-08-18 05:33:34,-17.51,-149.49,78.8,74,20,6.93
44,Eskil,TR,2020-08-18 05:33:34,38.4,33.41,68.54,35,0,5.97
45,Lachhmangarh,IN,2020-08-18 05:33:35,27.82,75.03,94.55,51,5,8.86
46,Sitka,US,2020-08-18 05:33:35,57.05,-135.33,55.4,87,75,4.7
47,Ribeira Grande,PT,2020-08-18 05:33:35,38.52,-28.7,74.03,89,99,13.22
48,Rawson,AR,2020-08-18 05:33:35,-43.3,-65.1,42.87,60,36,22.64
49,Puerto Ayora,EC,2020-08-18 05:33:35,-0.74,-90.35,66.99,94,88,1.01
50,Provideniya,RU,2020-08-18 05:33:35,64.38,-173.3,55.4,66,100,11.18
51,Caravelas,BR,2020-08-18 05:33:36,-17.71,-39.25,70.83,89,8,5.01
52,Upernavik,GL,2020-08-18 05:33:36,72.79,-56.15,46.08,58,95,3.94
53,Mar Del Plata,AR,2020-08-18 05:31:58,-38.0,-57.56,51.01,70,0,12.75
54,Lagoa,PT,2020-08-18 05:33:36,39.05,-27.98,71.33,90,99,6.71
55,Iqaluit,CA,2020-08-18 05:33:37,63.75,-68.51,44.6,87,75,6.93
56,Nanpiao,CN,2020-08-18 05:32:29,41.1,120.75,91.44,59,1,13.0
57,Ahipara,NZ,2020-08-18 05:33:37,-35.17,173.17,57.2,88,100,20.09
58,Geraldton,AU,2020-08-18 05:33:37,-28.77,114.6,66.2,55,40,12.75
59,Shar,KZ,2020-08-18 05:33:37,49.59,81.05,81.0,28,100,13.15
60,Arraial Do Cabo,BR,2020-08-18 05:33:38,-22.97,-42.03,70.14,86,77,6.62
61,Torbay,CA,2020-08-18 05:33:38,47.67,-52.73,62.01,82,75,4.7
62,Conde,BR,2020-08-18 05:33:38,-7.26,-34.91,71.6,94,20,5.82
63,Cam Ranh,VN,2020-08-18 05:33:38,11.92,109.16,91.4,66,20,10.29
64,Cockburn Town,TC,2020-08-18 05:33:38,21.46,-71.14,83.08,84,37,13.71
65,Qeshm,IR,2020-08-18 05:33:38,26.96,56.27,95.0,67,75,4.7
66,Maldonado,UY,2020-08-18 05:32:26,-34.67,-54.92,54.0,65,0,4.7
67,Luwuk,ID,2020-08-18 05:33:39,-0.95,122.79,84.13,57,7,10.04
68,Manono,CD,2020-08-18 05:33:39,-7.3,27.42,77.38,23,47,3.06
69,Crestview,US,2020-08-18 05:31:47,30.76,-86.57,78.8,88,1,3.91
70,Saint-Georges,GD,2020-08-18 05:33:39,12.06,-61.75,82.4,88,40,20.8
71,Victoria,HK,2020-08-18 05:31:39,22.29,114.16,86.0,74,67,13.0
72,Tsabong,BW,2020-08-18 05:33:40,-26.02,22.4,39.42,73,5,14.67
